"prov.orig","prov.comp","temp","cup","elpd"
"IPU","AB",15,"100",-7.65696718216196
"IPU","IN",15,"100",-7.84151991153141
"IPU","IPU",15,"100",-6.44498269068341
"IPU","NB2",15,"100",-13.5274442233437
"IPU","ON",15,"100",-14.4234079205711
"IPU","QC",15,"100",-14.4585159198346
"IN","AB",20,"100",-5.06787396438556
"IPU","AB",20,"100",-5.88396550727394
"NB2","AB",20,"100",-9.23539213944926
"ON","AB",20,"100",-5.21781352906052
"QC","AB",20,"100",-5.6781248412387
"IN","IN",20,"100",-3.4080550323592
"IPU","IN",20,"100",-3.37787280829808
"NB2","IN",20,"100",-25.9338092627565
"ON","IN",20,"100",-6.09650766179515
"QC","IN",20,"100",-9.14191996845072
"IN","IPU",20,"100",-4.12771285727685
"IPU","IPU",20,"100",-3.176858341244
"NB2","IPU",20,"100",-13.6032406233811
"ON","IPU",20,"100",-3.88062614158029
"QC","IPU",20,"100",-5.36867519369707
"IN","NB2",20,"100",-6.378631853191
"IPU","NB2",20,"100",-13.7036492563809
"NB2","NB2",20,"100",-10.7868006011669
"ON","NB2",20,"100",-8.70414643398058
"QC","NB2",20,"100",-7.47092683839658
"IN","ON",20,"100",-4.95891729794404
"IPU","ON",20,"100",-11.3426577795402
"NB2","ON",20,"100",-8.87687953131502
"ON","ON",20,"100",-3.43517527285163
"QC","ON",20,"100",-6.04075340932509
"IN","QC",20,"100",-5.91186883332818
"IPU","QC",20,"100",-13.1798289790898
"NB2","QC",20,"100",-8.07534268718734
"ON","QC",20,"100",-8.27648056066145
"QC","QC",20,"100",-4.4300361713012
"IPU","AB",25,"100",-3.71273907805119
"QC","AB",25,"100",-3.40883867663913
"IPU","IN",25,"100",-2.89074334726445
"QC","IN",25,"100",-5.08032395975193
"IPU","IPU",25,"100",-2.46277730904645
"QC","IPU",25,"100",-2.4043768806432
"IPU","NB2",25,"100",-12.3221129957741
"QC","NB2",25,"100",-6.75951941227169
"IPU","ON",25,"100",-11.5136087571858
"QC","ON",25,"100",-5.55485504855962
"IPU","QC",25,"100",-10.6145898348371
"QC","QC",25,"100",-2.82410808793263
